Size,Sleeve_Type,Color,Collar_Type,Fit,Pattern,Price,Trial_Count,Purchased
S,Sleeveless,Black,Round,Slim,Printed,2514,9,0
L,Full,Blue,Polo,Regular,Striped,1434,1,1
XL,Full,Green,Polo,Regular,Striped,2411,4,0
S,Full,Red,Round,Loose,Solid,1818,2,1
L,Sleeveless,Yellow,Mandarin,Regular,Solid,318,4,0
L,Half,White,Polo,Regular,Striped,781,1,1
S,Sleeveless,White,V-Neck,Regular,Striped,727,2,0
M,Sleeveless,Red,V-Neck,Slim,Printed,450,2,1
M,Half,Black,Round,Slim,Solid,1569,2,0
M,Sleeveless,Yellow,V-Neck,Loose,Printed,445,2,0
M,Half,Black,V-Neck,Slim,Striped,1789,3,0
S,Sleeveless,Red,Polo,Slim,Solid,487,3,0
M,Half,Green,Polo,Regular,Solid,1403,2,0
L,Full,White,Round,Regular,Solid,1387,9,1
M,Full,Yellow,V-Neck,Regular,Checked,577,7,1
M,Half,Black,Round,Slim,Checked,1638,1,0
M,Half,Blue,V-Neck,Slim,Striped,1589,4,0
L,Half,Blue,Round,Loose,Printed,447,2,0
L,Full,Blue,Polo,Loose,Printed,1460,2,0
M,Half,Yellow,Mandarin,Regular,Solid,559,7,1
S,Sleeveless,Blue,Polo,Loose,Printed,1961,1,0
S,Sleeveless,Blue,Polo,Slim,Striped,2313,3,0
L,Half,Blue,Mandarin,Regular,Solid,1571,2,1
L,Full,Yellow,Round,Regular,Solid,1746,8,0
S,Full,Red,Mandarin,Slim,Solid,2701,5,0
L,Half,White,V-Neck,Slim,Printed,1135,3,0
XL,Half,Black,Round,Regular,Printed,1081,0,1
S,Sleeveless,Black,Mandarin,Regular,Solid,718,6,0
L,Full,Black,Round,Slim,Solid,603,3,0
M,Full,Red,Mandarin,Slim,Solid,228,3,0
L,Full,Green,V-Neck,Loose,Checked,328,5,0
XL,Full,Black,Mandarin,Loose,Striped,2364,5,0
S,Half,Yellow,Mandarin,Loose,Solid,2763,3,0
XL,Half,Green,V-Neck,Regular,Solid,1080,5,0
L,Sleeveless,Blue,Mandarin,Regular,Printed,1029,3,1
XL,Full,Black,V-Neck,Slim,Solid,1650,3,0
M,Full,White,V-Neck,Slim,Checked,453,1,1
L,Full,Black,Polo,Regular,Striped,497,2,0
L,Sleeveless,Red,Round,Slim,Printed,201,1,1
L,Sleeveless,Red,Mandarin,Slim,Solid,426,5,0
L,Sleeveless,Black,Polo,Regular,Checked,2450,5,0
L,Half,Yellow,Mandarin,Regular,Striped,1319,3,0
L,Half,Blue,Polo,Slim,Solid,1908,4,1
M,Full,Blue,Round,Loose,Solid,764,3,1
L,Sleeveless,Red,V-Neck,Slim,Printed,641,1,1
M,Half,Blue,Round,Regular,Printed,375,3,0
L,Half,Blue,Polo,Loose,Printed,398,0,0
M,Half,Blue,Round,Loose,Striped,1765,3,1
L,Full,Black,Polo,Regular,Solid,2261,4,0
L,Sleeveless,Green,V-Neck,Slim,Solid,843,5,1
XL,Sleeveless,Black,Mandarin,Loose,Striped,970,2,0
S,Half,Green,Polo,Regular,Printed,2870,2,1
L,Sleeveless,Green,Round,Slim,Checked,626,2,0
S,Sleeveless,Black,V-Neck,Loose,Solid,1213,1,1
L,Full,Black,Mandarin,Slim,Striped,972,6,0
M,Half,White,Round,Regular,Printed,964,3,0
M,Full,White,Round,Regular,Solid,2855,6,1
M,Sleeveless,Yellow,Round,Regular,Checked,1663,3,0
M,Full,White,Polo,Loose,Solid,747,2,1
M,Half,Green,V-Neck,Slim,Solid,1748,2,0
L,Full,Red,Mandarin,Slim,Solid,1024,5,1
L,Full,Black,Polo,Regular,Solid,3000,2,0
L,Sleeveless,Blue,Round,Regular,Solid,1697,4,0
M,Full,Green,Round,Regular,Solid,2536,3,0
M,Sleeveless,Black,Round,Regular,Printed,373,3,1
S,Full,Black,V-Neck,Loose,Solid,783,4,1
L,Full,White,Round,Regular,Striped,1396,1,0
M,Full,Blue,Mandarin,Regular,Checked,2765,6,0
M,Half,Black,V-Neck,Regular,Solid,802,5,1
L,Sleeveless,Green,Round,Slim,Solid,419,3,0
XL,Half,Blue,Polo,Slim,Solid,710,2,0
M,Full,Green,V-Neck,Slim,Solid,847,1,1
S,Half,Yellow,V-Neck,Regular,Striped,2298,2,0
M,Full,Blue,Polo,Slim,Striped,653,3,1
XL,Half,Red,Mandarin,Regular,Solid,2750,2,0
M,Full,Yellow,Polo,Slim,Striped,852,2,0
XL,Full,White,Mandarin,Slim,Printed,2071,6,1
XL,Half,Blue,Round,Regular,Printed,366,3,1
L,Full,White,Mandarin,Regular,Striped,983,5,0
M,Half,Yellow,Round,Regular,Checked,1117,8,1
S,Full,White,Round,Regular,Striped,555,0,0
L,Half,Red,Polo,Loose,Solid,2377,2,0
XL,Half,Blue,Polo,Slim,Striped,2111,7,0
L,Sleeveless,Black,V-Neck,Loose,Checked,938,0,0
XL,Full,Red,Mandarin,Loose,Solid,1370,3,1
M,Full,White,Round,Loose,Striped,681,6,0
M,Half,White,Round,Loose,Printed,1907,3,0
XL,Full,White,Polo,Regular,Solid,1992,1,1
L,Full,Black,Mandarin,Slim,Checked,2653,1,1
L,Full,Black,V-Neck,Slim,Printed,350,2,0
M,Full,Red,Polo,Loose,Checked,619,1,0
M,Half,Blue,Round,Regular,Solid,1270,3,1
M,Half,Green,V-Neck,Slim,Checked,1164,1,1
XL,Half,Green,V-Neck,Regular,Solid,1457,7,0
L,Full,White,Polo,Slim,Printed,2080,2,1
L,Sleeveless,Blue,Round,Slim,Striped,2605,3,0
M,Full,Yellow,Round,Loose,Checked,2454,0,0
M,Half,Green,Round,Regular,Solid,2308,2,0
M,Full,Red,Round,Slim,Printed,267,8,0
S,Half,Blue,Mandarin,Regular,Solid,1979,4,0
M,Full,Red,Round,Regular,Solid,677,1,1
S,Full,Yellow,Polo,Loose,Striped,2019,5,0
S,Sleeveless,Blue,V-Neck,Loose,Solid,2303,4,0
M,Half,White,V-Neck,Loose,Solid,287,1,0
XL,Full,Green,Polo,Loose,Printed,966,7,1
M,Full,Green,Polo,Loose,Printed,2894,0,0
M,Full,Yellow,Round,Slim,Checked,650,0,0
S,Half,Red,Round,Slim,Solid,1552,6,0
XL,Full,Red,Round,Loose,Printed,2698,9,1
S,Full,Blue,Round,Regular,Solid,2056,2,1
S,Half,White,Polo,Regular,Printed,974,1,0
M,Full,Blue,Round,Regular,Solid,1594,5,0
M,Sleeveless,Black,V-Neck,Loose,Printed,1442,1,0
L,Sleeveless,White,Polo,Loose,Solid,1575,4,1
S,Half,Black,Polo,Loose,Solid,626,0,0
M,Half,Green,V-Neck,Slim,Striped,1407,1,1
S,Full,Blue,V-Neck,Slim,Checked,807,2,0
M,Sleeveless,Blue,V-Neck,Slim,Printed,773,3,1
L,Full,Green,V-Neck,Slim,Printed,479,10,1
M,Half,Red,Mandarin,Slim,Solid,1918,8,0
M,Sleeveless,Blue,Polo,Loose,Solid,1127,2,1
L,Sleeveless,Red,Polo,Regular,Striped,3000,1,0
XL,Sleeveless,White,V-Neck,Slim,Solid,200,1,0
M,Full,Green,Round,Regular,Printed,1807,0,1
L,Full,White,V-Neck,Slim,Solid,2223,0,0
L,Half,Blue,Mandarin,Slim,Checked,1226,3,0
L,Full,Black,V-Neck,Slim,Solid,1020,0,1
S,Half,Blue,Polo,Slim,Printed,1008,5,1
L,Sleeveless,White,Round,Loose,Checked,311,0,0
XL,Full,Black,V-Neck,Loose,Solid,814,2,1
L,Full,Blue,Round,Slim,Checked,1061,1,1
M,Half,Green,Round,Loose,Striped,211,1,0
M,Sleeveless,Red,Round,Regular,Printed,2203,1,0
S,Full,Black,Round,Loose,Striped,368,10,0
M,Sleeveless,Black,Mandarin,Slim,Striped,516,3,1
M,Full,Red,Round,Loose,Checked,1922,2,1
S,Full,Green,Round,Regular,Solid,2562,4,0
M,Full,Red,Mandarin,Regular,Printed,1986,3,0
L,Half,Blue,Mandarin,Slim,Checked,1718,5,0
XL,Full,Yellow,Mandarin,Regular,Striped,2684,0,1
M,Full,Blue,V-Neck,Slim,Solid,834,3,1
M,Full,White,Mandarin,Regular,Striped,1883,0,0
S,Sleeveless,Blue,Mandarin,Slim,Checked,2412,2,0
S,Sleeveless,Black,Polo,Regular,Printed,2958,5,1
S,Sleeveless,White,Polo,Loose,Checked,1142,0,0
L,Full,Black,Polo,Regular,Striped,2693,8,0
L,Half,Blue,Round,Slim,Solid,1608,3,1
L,Sleeveless,Yellow,Mandarin,Loose,Striped,911,3,0
M,Sleeveless,Black,V-Neck,Regular,Printed,407,3,0
M,Sleeveless,Blue,Polo,Slim,Printed,686,1,0
L,Full,White,V-Neck,Regular,Solid,334,2,1
L,Sleeveless,Green,V-Neck,Loose,Printed,342,0,0
S,Full,Black,Round,Loose,Checked,1601,2,1
S,Half,Green,V-Neck,Loose,Striped,845,1,1
L,Half,Black,Mandarin,Regular,Solid,566,1,0
M,Full,Black,Polo,Slim,Checked,1302,7,1
S,Full,Red,V-Neck,Regular,Checked,767,2,0
L,Half,Red,Round,Loose,Solid,2601,9,0
M,Full,Blue,Round,Slim,Solid,2125,2,1
S,Half,Yellow,V-Neck,Regular,Striped,1308,1,0
M,Full,Green,Round,Slim,Solid,2163,6,0
XL,Half,Black,Round,Regular,Striped,1377,2,0
M,Sleeveless,Blue,Round,Slim,Solid,433,7,0
S,Half,White,Round,Slim,Checked,1888,7,1
S,Full,Red,Mandarin,Loose,Striped,1139,0,0
L,Half,Black,Mandarin,Regular,Striped,3000,0,0
M,Half,Blue,V-Neck,Slim,Printed,602,1,1
S,Full,Blue,V-Neck,Regular,Striped,1859,1,0
XL,Full,Green,Round,Slim,Solid,541,1,1
M,Half,Black,Mandarin,Slim,Printed,1345,0,0
XL,Half,Black,Polo,Regular,Solid,2934,3,0
XL,Full,Red,Mandarin,Regular,Striped,800,0,1
XL,Half,Black,Mandarin,Regular,Solid,2521,5,1
L,Full,Black,Round,Regular,Solid,834,9,1
S,Sleeveless,Red,Round,Slim,Solid,1265,9,0
M,Sleeveless,Black,V-Neck,Slim,Striped,289,3,0
L,Half,Red,V-Neck,Regular,Printed,634,0,0
L,Sleeveless,Green,V-Neck,Regular,Solid,751,3,0
M,Half,Black,Round,Slim,Striped,200,0,0
XL,Sleeveless,Blue,V-Neck,Regular,Printed,2884,3,1
XL,Half,White,Round,Regular,Solid,1602,3,0
S,Half,Blue,V-Neck,Slim,Solid,773,1,0
M,Half,Green,V-Neck,Regular,Checked,3000,1,0
L,Half,Red,Round,Slim,Printed,1968,2,0
L,Half,White,V-Neck,Regular,Striped,451,1,0
XL,Full,Blue,Polo,Regular,Striped,759,5,1
M,Sleeveless,Black,Round,Regular,Printed,225,3,1
L,Sleeveless,Blue,Polo,Slim,Printed,2194,0,1
L,Full,White,Mandarin,Loose,Solid,569,2,1
L,Half,Yellow,Polo,Loose,Striped,2348,0,0
XL,Sleeveless,Red,Round,Loose,Striped,2550,3,0
M,Full,Blue,Mandarin,Regular,Printed,1557,0,0
XL,Sleeveless,White,V-Neck,Regular,Solid,756,3,1
XL,Half,White,Mandarin,Loose,Printed,329,1,0
M,Half,Yellow,Round,Regular,Solid,2074,1,0
L,Half,Black,Round,Regular,Solid,1664,2,0
M,Full,Blue,Round,Slim,Solid,448,3,1
L,Full,Green,Round,Loose,Printed,400,1,1
L,Half,Red,Round,Slim,Checked,2976,9,1
M,Full,Blue,V-Neck,Slim,Solid,257,3,1
M,Sleeveless,Blue,V-Neck,Slim,Striped,844,1,0
M,Half,Black,Polo,Loose,Striped,721,3,0
S,Sleeveless,White,V-Neck,Slim,Solid,758,1,1
M,Half,Black,V-Neck,Regular,Striped,447,1,0
S,Half,Red,Mandarin,Slim,Solid,1824,0,0
M,Full,Blue,Polo,Slim,Solid,654,0,0
S,Half,White,V-Neck,Slim,Solid,2448,3,0
S,Full,Blue,V-Neck,Slim,Striped,498,0,0
XL,Full,Green,Polo,Loose,Solid,1277,2,0
XL,Sleeveless,Blue,Mandarin,Slim,Solid,924,7,1
M,Full,White,Round,Regular,Striped,1042,1,1
XL,Full,White,V-Neck,Slim,Checked,722,3,1
L,Half,Blue,Mandarin,Regular,Striped,2873,2,0
S,Half,Yellow,Round,Slim,Solid,949,7,1
S,Full,Yellow,Round,Regular,Striped,2866,2,1
M,Half,Blue,Round,Regular,Striped,994,6,1
L,Sleeveless,Yellow,Mandarin,Slim,Striped,303,8,0
M,Sleeveless,Blue,Round,Slim,Printed,1723,2,1
XL,Full,Black,Polo,Regular,Checked,2584,9,0
L,Full,White,Polo,Slim,Printed,1638,1,0
L,Full,Yellow,V-Neck,Slim,Solid,570,5,0
XL,Half,Black,Round,Regular,Solid,1127,3,1
M,Half,Yellow,V-Neck,Regular,Printed,3000,1,1
M,Sleeveless,White,V-Neck,Regular,Checked,739,1,1
XL,Sleeveless,Blue,Mandarin,Loose,Solid,2579,1,0
M,Full,White,V-Neck,Slim,Printed,1301,3,1
XL,Full,Red,Round,Regular,Checked,360,1,0
M,Full,Black,Round,Slim,Striped,1359,3,0
M,Sleeveless,Blue,Mandarin,Slim,Printed,2517,6,0
S,Sleeveless,Black,V-Neck,Regular,Checked,268,1,0
S,Half,Red,Polo,Regular,Striped,636,4,1
L,Full,Red,Polo,Slim,Solid,534,2,1
M,Full,Green,V-Neck,Loose,Solid,1834,5,0
L,Full,White,V-Neck,Regular,Solid,1315,0,0
L,Full,Red,V-Neck,Loose,Printed,754,3,0
M,Full,Green,V-Neck,Regular,Solid,430,5,0
L,Full,White,Round,Regular,Solid,1228,1,0
L,Half,Black,Polo,Loose,Solid,332,0,0
S,Half,Red,V-Neck,Slim,Printed,1080,1,1
M,Sleeveless,Red,Polo,Slim,Solid,900,3,1
M,Half,White,Polo,Slim,Solid,642,3,1
L,Half,Green,V-Neck,Loose,Striped,981,0,0
L,Sleeveless,White,V-Neck,Loose,Striped,1623,10,1
XL,Half,Yellow,Polo,Regular,Striped,800,2,1
L,Full,Yellow,V-Neck,Regular,Checked,1761,0,0
M,Half,Yellow,Round,Regular,Printed,2515,2,1
S,Sleeveless,Black,V-Neck,Slim,Printed,461,1,1
XL,Full,Green,V-Neck,Loose,Solid,1573,0,0
S,Full,Blue,V-Neck,Regular,Checked,3000,2,0
S,Sleeveless,White,Polo,Loose,Solid,282,2,0
S,Sleeveless,Black,Polo,Loose,Solid,628,3,0
L,Sleeveless,White,V-Neck,Slim,Printed,1857,6,1
L,Full,Yellow,Mandarin,Regular,Checked,2022,3,1
XL,Full,Red,V-Neck,Regular,Striped,1934,7,0
L,Sleeveless,Red,Mandarin,Regular,Solid,3000,3,1
M,Full,Black,Mandarin,Loose,Solid,588,2,1
S,Full,White,V-Neck,Slim,Striped,756,1,1
M,Full,Black,Mandarin,Regular,Solid,456,1,1
M,Full,White,Round,Loose,Checked,753,2,1
XL,Half,Green,Polo,Regular,Solid,469,2,0
L,Full,White,V-Neck,Regular,Solid,605,3,1
S,Half,Blue,Polo,Slim,Solid,490,8,0
S,Half,Black,Round,Slim,Checked,200,3,0
L,Full,Yellow,Round,Regular,Solid,2282,2,1
M,Half,Yellow,Mandarin,Regular,Checked,399,7,1
XL,Full,White,Mandarin,Slim,Checked,2963,5,0
M,Half,Black,Round,Loose,Checked,2571,0,0
M,Full,Blue,Round,Regular,Striped,1411,1,1
L,Sleeveless,Red,Polo,Regular,Striped,1208,2,0
S,Full,White,V-Neck,Loose,Checked,2030,1,0
S,Sleeveless,Green,Mandarin,Regular,Solid,2838,6,0
S,Half,Green,V-Neck,Regular,Printed,2700,3,0
L,Half,Green,Mandarin,Regular,Solid,469,2,1
S,Full,White,Mandarin,Slim,Striped,446,7,1
L,Full,Red,V-Neck,Loose,Checked,962,2,0
XL,Full,White,Round,Slim,Checked,1675,9,0
L,Sleeveless,White,Polo,Loose,Solid,944,0,0
L,Half,Yellow,Mandarin,Regular,Solid,1796,8,0
S,Half,Black,Round,Regular,Checked,217,4,0
M,Sleeveless,Black,Round,Slim,Solid,1373,1,1
L,Half,Black,V-Neck,Slim,Printed,1147,5,1
M,Half,Green,Mandarin,Slim,Striped,2978,1,1
S,Half,Red,V-Neck,Loose,Striped,1237,1,1
M,Half,Blue,Mandarin,Slim,Printed,1508,1,0
L,Sleeveless,Yellow,V-Neck,Regular,Striped,530,3,1
M,Half,Red,Mandarin,Loose,Striped,2796,3,1
L,Full,Red,Round,Regular,Solid,1561,3,0
XL,Half,Red,Round,Regular,Solid,648,1,0
XL,Half,Black,Round,Regular,Printed,811,1,0
L,Sleeveless,Green,Round,Regular,Printed,1455,0,1
XL,Full,White,Round,Loose,Checked,2829,7,0
XL,Half,White,Round,Loose,Checked,586,7,0
L,Full,Red,Round,Regular,Printed,2060,2,0
S,Sleeveless,White,Polo,Slim,Solid,2343,7,1
XL,Half,Black,Mandarin,Slim,Printed,1411,2,0
L,Half,Red,Round,Loose,Printed,2508,8,0
L,Half,Black,Round,Loose,Printed,2517,1,0
M,Sleeveless,Green,Polo,Slim,Checked,1335,1,0
XL,Half,Black,Polo,Slim,Printed,1181,1,0
S,Full,Black,V-Neck,Regular,Printed,624,2,0
M,Half,Black,Mandarin,Loose,Solid,296,1,1
S,Sleeveless,Blue,V-Neck,Loose,Striped,1935,6,0
S,Full,Blue,Mandarin,Regular,Printed,593,1,1
L,Half,White,V-Neck,Slim,Solid,1370,0,0
M,Full,Green,Round,Regular,Solid,1479,0,1
S,Full,Blue,Round,Regular,Striped,1495,6,1
XL,Sleeveless,Blue,V-Neck,Loose,Printed,2768,4,0
S,Full,Blue,Polo,Slim,Checked,551,3,1
XL,Sleeveless,Black,Polo,Regular,Solid,1356,5,0
S,Full,Black,Mandarin,Regular,Printed,1334,7,0
S,Sleeveless,White,V-Neck,Slim,Printed,602,3,0
M,Full,Green,Polo,Loose,Checked,1374,2,1
L,Full,Red,Polo,Loose,Printed,853,3,1
M,Sleeveless,Red,V-Neck,Regular,Solid,2826,3,1
M,Sleeveless,Red,Mandarin,Slim,Solid,870,7,1
M,Sleeveless,Blue,V-Neck,Slim,Solid,1836,1,0
L,Full,Yellow,Polo,Regular,Checked,912,1,1
M,Sleeveless,Blue,Round,Slim,Solid,1044,4,1
S,Full,White,Polo,Slim,Printed,526,10,1
L,Sleeveless,White,Mandarin,Loose,Printed,323,0,1
XL,Half,Black,V-Neck,Slim,Striped,996,3,1
M,Full,Green,V-Neck,Slim,Striped,474,0,1
S,Sleeveless,Red,Mandarin,Slim,Printed,464,3,0
XL,Full,Blue,Round,Regular,Striped,2650,3,1
M,Half,Blue,V-Neck,Loose,Printed,1016,6,0
L,Full,White,Round,Regular,Printed,1017,5,1
L,Full,Green,V-Neck,Regular,Checked,1576,4,0
M,Full,Yellow,Round,Loose,Printed,2956,3,0
M,Half,Black,Polo,Regular,Solid,583,0,1
M,Full,Yellow,V-Neck,Loose,Checked,2722,4,0
M,Full,Red,V-Neck,Loose,Printed,753,3,0
M,Sleeveless,Yellow,Round,Loose,Checked,861,2,0
M,Sleeveless,Red,Round,Regular,Solid,1106,3,1
S,Half,Blue,V-Neck,Slim,Solid,1256,1,0
S,Full,Blue,Mandarin,Loose,Printed,430,1,0
XL,Full,Black,Round,Slim,Solid,368,0,1
L,Sleeveless,Blue,Mandarin,Regular,Striped,1631,7,1
L,Sleeveless,White,V-Neck,Slim,Striped,869,2,0
L,Full,Black,Round,Regular,Solid,3000,3,0
M,Half,Black,Round,Regular,Printed,787,2,1
M,Full,Red,V-Neck,Regular,Striped,1342,9,1
L,Half,Black,V-Neck,Slim,Solid,697,3,0
S,Full,Green,Round,Slim,Printed,1820,1,1
M,Full,Red,Round,Regular,Solid,1527,3,1
M,Sleeveless,Yellow,Polo,Regular,Checked,812,3,0
XL,Half,Blue,Round,Slim,Solid,366,3,0
M,Full,Black,Mandarin,Regular,Printed,625,10,1
M,Sleeveless,White,V-Neck,Slim,Printed,2221,1,0
M,Half,White,Polo,Regular,Printed,200,4,1
M,Half,Black,Round,Regular,Checked,2564,2,0
L,Half,Red,Polo,Regular,Printed,3000,0,0
XL,Sleeveless,Blue,V-Neck,Regular,Checked,2065,3,0
M,Full,White,Round,Regular,Printed,866,1,0
L,Sleeveless,Blue,Round,Slim,Solid,213,5,0
M,Full,Black,Mandarin,Slim,Striped,642,3,0
S,Half,White,V-Neck,Regular,Printed,2269,0,1
XL,Full,Black,V-Neck,Slim,Solid,1690,0,0
M,Full,White,V-Neck,Slim,Printed,1772,8,1
L,Half,Red,V-Neck,Loose,Striped,2257,9,0
L,Sleeveless,Red,Polo,Loose,Solid,1076,1,1
M,Half,White,Round,Loose,Printed,248,2,1
XL,Full,Green,V-Neck,Slim,Printed,1192,3,0
L,Half,Black,Polo,Slim,Checked,333,0,0
M,Sleeveless,Yellow,Round,Slim,Solid,915,4,0
S,Half,White,Polo,Loose,Checked,1868,3,0
M,Full,Green,Round,Regular,Checked,644,2,1
XL,Full,Black,V-Neck,Loose,Solid,1283,4,0
M,Full,Black,Round,Regular,Striped,558,1,0
S,Full,Yellow,Polo,Slim,Striped,2837,4,0
L,Sleeveless,Blue,Round,Regular,Checked,713,0,0
L,Sleeveless,Red,V-Neck,Regular,Checked,2783,5,0
M,Sleeveless,Green,V-Neck,Slim,Solid,1664,0,0
L,Full,Green,V-Neck,Slim,Solid,438,1,0
M,Half,Yellow,Mandarin,Regular,Striped,768,3,1
S,Full,Yellow,Polo,Regular,Solid,726,1,0
M,Sleeveless,Black,V-Neck,Loose,Striped,1358,3,0
L,Full,Yellow,Polo,Regular,Solid,641,1,0
S,Full,Green,Round,Loose,Solid,1669,0,0
XL,Full,Green,V-Neck,Slim,Solid,1712,0,0
M,Half,Black,Polo,Slim,Solid,892,3,1
M,Full,Yellow,Polo,Slim,Checked,999,3,0
M,Half,Black,Round,Slim,Checked,275,4,0
M,Full,Red,Mandarin,Regular,Solid,2500,7,1
M,Half,Green,Round,Regular,Printed,1619,1,0
S,Full,Blue,Round,Regular,Printed,1941,0,0
L,Full,Black,V-Neck,Regular,Solid,1278,3,1
M,Full,Red,V-Neck,Regular,Striped,1374,2,0
S,Half,Yellow,Polo,Loose,Checked,3000,3,0
M,Full,Green,Polo,Slim,Printed,2276,1,1
L,Full,Black,V-Neck,Regular,Striped,587,1,0
L,Sleeveless,White,Polo,Loose,Printed,2140,8,0
M,Sleeveless,Black,V-Neck,Regular,Printed,1775,3,0
M,Half,Green,V-Neck,Loose,Printed,1845,2,0
M,Full,White,Round,Loose,Solid,212,1,1
L,Sleeveless,Green,Round,Slim,Striped,875,2,0
M,Half,Red,Polo,Slim,Striped,1446,0,0
L,Full,White,Round,Regular,Solid,607,2,0
XL,Half,Black,Polo,Slim,Printed,364,4,0
M,Half,Green,Round,Slim,Solid,2629,3,0
M,Full,Red,Polo,Loose,Solid,1171,0,1
M,Sleeveless,Green,V-Neck,Slim,Checked,836,3,1
XL,Half,Black,Mandarin,Loose,Checked,753,0,0
L,Full,Yellow,Round,Slim,Striped,511,2,1
L,Half,Yellow,V-Neck,Slim,Striped,738,2,1
XL,Sleeveless,Black,Round,Regular,Printed,1365,3,1
M,Sleeveless,Black,Round,Regular,Checked,318,2,0
XL,Full,Black,Round,Slim,Printed,2839,4,1
M,Sleeveless,Yellow,V-Neck,Loose,Printed,434,2,0
S,Full,Yellow,Polo,Regular,Checked,1311,1,0
M,Full,Red,Polo,Regular,Solid,271,5,1
M,Sleeveless,Blue,Polo,Regular,Printed,925,2,0
L,Full,Red,Polo,Regular,Solid,478,3,0
L,Full,Yellow,Mandarin,Regular,Printed,2556,6,0
XL,Full,Black,V-Neck,Loose,Solid,2923,1,1
L,Full,Green,Polo,Regular,Printed,200,3,0
